;Effectifs (en milliers);;;Répartition de l’emploi salarié (en %);;;;;Figure 1 - Niveaux de l'emploi et structure de l'emploi salarié par région fin 2020
;Emploi total;"Emploi 
non salarié";Emploi salarié;Agriculture;Industrie;Construction ;Tertiaire marchand;"Tertiaire 
non marchand";
Auvergne-Rhône-Alpes;3,472;404;3,067;1;16;6;46;32;
Bourgogne-Franche-Comté;1,088;122;966;2;17;5;40;36;
Bretagne;1,396;165;1,231;2;14;6;43;35;
Centre-Val de Loire;1,009;103;906;1;16;6;43;34;
Corse;136;20;116;2;6;10;42;39;
Grand Est;2,136;205;1,931;1;16;6;42;35;
Hauts-de-France;2,253;191;2,062;2;17;6;44;30;
Île-de-France;6,464;486;5,977;0;7;5;61;26;
Normandie;1,314;133;1,181;1;17;6;41;35;
Nouvelle-Aquitaine;2,476;332;2,144;2;12;6;44;35;
Occitanie;2,373;337;2,036;1;11;6;45;37;
Pays de la Loire;1,648;174;1,474;2;17;6;44;30;
Provence-Alpes-Côte d'Azur;2,156;293;1,863;1;8;6;49;35;
Guadeloupe;137;17;119;1;7;6;43;43;
Guyane;72;5;67;1;7;6;34;53;
La Réunion;304;38;266;1;7;6;42;44;Source : Insee, Estimations d’emploi.
Martinique;137;14;123;3;7;5;42;43;Champ : France hors Mayotte.
France hors Mayotte;28,570;3,039;25,531;1;12;6;48;33;"Lecture :  fin 2020, 3,5 millions de personnes étaient en emploi en Auvergne-Rhône-Alpes, dont 3,1 millions de salariés ; parmi ces derniers, 46 % étaient salariés du tertiaire marchand."